"Gene","Log2FC","AveExpr","t","P.Value","adj.P.Val","B","Log2Transformed"
"ADAMTS3",NA,-0.0634853663609742,NA,NA,NA,NA,FALSE
"ADAMTS4",NA,NA,NA,NA,NA,NA,FALSE
"ADAMTS5",NA,NA,NA,NA,NA,NA,FALSE
"ADAMTS9",NA,NA,NA,NA,NA,NA,FALSE
"ADAMTSL1",-1.47305116560594,0.165435214520782,-1.87632073215666,0.100062819085947,0.619397185601622,-4.1620312732688,FALSE
"ADAMTSL4",-1.60003833687413,-0.180472433432265,-2.44495531956764,0.0335505493617181,0.474997797570641,-3.53664655652531,FALSE
"ADAP1",1.00779588729203,-0.00261468818464667,3.21610119968817,0.0059972463140433,0.284982475990273,-2.17753651671489,FALSE
"ADAP2",-0.778122863180389,0.955997272611989,-1.35034794285616,0.230072886967333,0.757906410902222,-4.68389317835824,FALSE
"ADAR",0.222991716685039,0.173707043364532,0.851479218818535,0.406712500327105,0.845142750181775,-5.76871986697063,FALSE
"ADARB1",-0.257798513262131,-0.193626596925746,-0.831014975924857,0.420450283051212,0.848789352171921,-5.67026580589378,FALSE
"ADAT1",0.0203827378441635,0.0708262338315936,0.066228144973916,0.948168987305431,0.990223847787175,-6.00792370418536,FALSE
"ADAT2",-0.909768432145675,0.0851784932218623,-1.39436686885216,0.187549513521683,0.723372180392811,-5.06844423373934,FALSE
"ADAT3",-0.265578900321952,0.126145303464863,-0.710535144617546,0.492893529406405,0.87831762755869,-5.63422478473134,FALSE
"ADCK1",0.287536876689832,0.0617335054826125,0.704155594113932,0.494274657248186,0.878487537038928,-5.70167782883036,FALSE
"ADCK2",-0.150755420324824,-0.207637357949411,-0.208773657363728,0.841042487705216,0.976203163673986,-5.58485183928431,FALSE
"ADCK5",0.0449722378581359,-0.0721513037945515,0.0665082419899719,0.948980722851442,0.990223847787175,-5.60438700474673,FALSE
"ADCY10",-0.476137313197103,-0.0603737157339796,-0.611935053257512,0.56145192852612,0.899553138187685,-5.42494266271379,FALSE
"ADCY3",-0.310626678356829,0.0413385482656699,-0.843135346860004,0.415030890865517,0.847365071559026,-5.59865343676019,FALSE
"ADCY5",0.218759164566519,0.0540400742079216,0.482596285859596,0.635733436752202,0.920777869179325,-6.0101867885538,FALSE
"ADCY6",-0.911401053076465,-0.151144176466288,-1.69690171886404,0.116651288571544,0.643591587307623,-4.6323233220228,FALSE
"ADCY7",NA,0.607488181617907,NA,NA,NA,NA,FALSE
"ADCY8",-0.310626678356829,0.0413385482656699,-0.843135346860004,0.415030890865517,0.847365071559026,-5.59865343676019,FALSE
