"Metabolite","Log2FC","AveExpr","t","P.Value","adj.P.Val","B","Log2Transformed"
"C52.5.TAG",0.186186879166669,5.932932915,1.4526163248189,0.160006457735681,0.722065706826601,-4.97533825106329,FALSE
"C54.1.TAG",0.145608716666671,6.031922955,0.885737317448144,0.385040842497281,0.780488194251245,-5.58074394873303,FALSE
"C54.2.TAG",0.113122495833332,6.03905341,0.706442124342767,0.487097501626982,0.830279832318719,-5.71589842346045,FALSE
"C54.3.TAG",0.165381579166669,6.01092471,1.08489076230516,0.289351534591917,0.767896083722976,-5.39777201007174,FALSE
"C54.4.TAG",0.318235354166669,5.91181085,2.12381223703072,0.0447991770719642,0.579393747912754,-3.96241565124749,FALSE
"C54.5.TAG",0.2507256625,5.81164846,1.88927485096669,0.0716884514352494,0.579393747912754,-4.34768802317097,FALSE
"C54.6.TAG",0.221204366666665,5.84531932,1.92993150520328,0.0661971883351514,0.579393747912754,-4.28311522715238,FALSE
"C54.7.TAG",0.143686108333338,5.90020374,1.38585244597763,0.179249425999598,0.722065706826601,-5.05974059735989,FALSE
"C56.2.TAG",0.122194420833337,6.05787329,0.750442199112355,0.460692491664742,0.809811020504429,-5.68539527684828,FALSE
"C56.3.TAG",0.190865941666667,6.03736694,1.17781045735689,0.25106619627881,0.767896083722976,-5.30106605005375,FALSE
"C56.4.TAG",0.336044787500001,5.91174826,1.99326235697028,0.0583792129837972,0.579393747912754,-4.18063549795496,FALSE
"C56.5.TAG",0.326843391666668,5.86506746,1.77664546363689,0.0890243461410113,0.625952433803986,-4.52140691997376,FALSE
"C56.6.TAG",0.313725975000002,5.82230261,2.64814468398373,0.0144570181019787,0.406603634118151,-3.00430003782402,FALSE
"C56.7.TAG",0.131556641666669,5.84488331,0.892051288121517,0.381718992931869,0.780488194251245,-5.57546544473249,FALSE
"C56.8.TAG",0.107675116666671,5.82121132,0.794567502358496,0.435089380502585,0.795681913792805,-5.65305317837252,FALSE
"C58.6.TAG",0.282476175000001,5.80453058,1.88632225668914,0.0721023330735871,0.579393747912754,-4.35233969921952,FALSE
"C58.7.TAG",0.308793120833335,5.80493336,1.91281252353394,0.0684626789593414,0.579393747912754,-4.31042203274833,FALSE
"C58.8.TAG",0.137928808333336,5.831808685,0.982041969718069,0.336424871912184,0.767896083722976,-5.49647992310034,FALSE
"cAMP",0.0830368166666684,5.87110444,0.799706779162018,0.43216532753343,0.795681913792805,-5.64917296764812,FALSE
"carnitine",-0.177814479166663,5.92434765,-1.59092152632944,0.125450741410136,0.672057543268584,-4.79030654883525,FALSE
"carnosine",0.00257600000000036,5.840016025,0.0202540550221819,0.984017585398668,0.986327843853534,-5.95629180788811,FALSE
"choline",0.169593637500004,5.77109757,1.22480075130772,0.233201555900643,0.767896083722976,-5.24950864338898,FALSE
"cis.trans.hydroxyproline",-0.545933629166664,5.724017485,-2.4492238777876,0.0224624238233083,0.496746839655545,-3.38166655345188,FALSE
"citrate",-0.084288749999998,5.910988725,-0.939457707991402,0.357380015891092,0.767896083722976,-5.53472661662005,FALSE
"citrulline",-0.219306595833331,5.79700523,-2.27205845756667,0.0328772108846738,0.573847101529237,-3.70398073806884,FALSE
